model,log,alg,time,mgtime,tcgtime,subtime,altime,aligntime,precomptime
e--100--all-10,log,tcg,342,1,321,1,2,5,322
e--100--all-30,log,tcg,342,1,321,2,1,4,322
e--100--all-50,log,tcg,345,1,325,3,1,4,326
e--100--all-70,log,tcg,370,1,344,2,2,5,345
e--1000--all-10,log,tcg,481,1,317,20,13,42,318
e--1000--all-30,log,tcg,507,1,339,23,13,38,340
e--1000--all-50,log,tcg,495,1,322,26,14,50,323
e--1000--all-70,log,tcg,485,1,321,25,13,41,322
e--10000--all-10,log,tcg,2111,1,362,248,132,410,363
e--10000--all-30,log,tcg,2286,1,537,224,139,388,538
e--10000--all-50,log,tcg,2003,1,350,253,141,420,351
e--10000--all-70,log,tcg,2042,1,347,274,133,433,348
f--10--all-10,log,tcg,435,3,409,0,0,1,412
f--10--all-30,log,tcg,418,3,407,0,1,1,410
f--10--all-50,log,tcg,405,2,395,1,0,1,397
f--10--all-70,log,tcg,411,3,401,0,0,1,404
f--100--all-10,log,tcg,421,3,400,1,1,2,403
f--100--all-30,log,tcg,423,3,403,2,1,3,406
f--100--all-50,log,tcg,446,3,424,1,1,3,427
f--100--all-70,log,tcg,441,3,419,1,1,3,422
f--1000--all-10,log,tcg,540,2,389,14,10,27,391
f--1000--all-30,log,tcg,538,2,396,15,11,28,398
f--1000--all-50,log,tcg,555,3,405,16,12,31,408
f--1000--all-70,log,tcg,575,3,422,15,12,30,425
f--10000--all-10,log,tcg,1887,2,416,148,106,280,418
f--10000--all-30,log,tcg,1878,2,474,155,110,293,476
f--10000--all-50,log,tcg,1902,3,429,172,114,314,432
f--10000--all-70,log,tcg,2128,3,428,378,118,525,431
g--10--all-10,log,tcg,487,5,470,1,0,1,475
g--10--all-30,log,tcg,478,5,460,0,0,1,465
g--10--all-50,log,tcg,490,5,468,1,0,1,473
g--10--all-70,log,tcg,466,5,450,1,0,1,455
g--100--all-10,log,tcg,507,5,466,3,2,5,471
g--100--all-30,log,tcg,502,6,459,3,2,6,465
g--100--all-50,log,tcg,519,5,476,3,2,6,481
g--100--all-70,log,tcg,515,5,469,3,2,6,474
g--1000--all-10,log,tcg,753,5,458,26,18,53,463
g--1000--all-30,log,tcg,801,5,472,27,19,55,477
g--1000--all-50,log,tcg,791,6,470,29,18,56,476
g--1000--all-70,log,tcg,793,5,464,37,17,63,469
g--10000--all-10,log,tcg,3731,6,650,274,192,557,656
g--10000--all-30,log,tcg,3734,6,516,295,188,584,522
g--10000--all-50,log,tcg,4348,5,504,289,177,566,509
g--10000--all-70,log,tcg,3742,5,610,323,171,592,615
h--10--all-10,log,tcg,186,1,169,1,0,1,170
h--10--all-30,log,tcg,176,1,170,0,0,0,171
h--10--all-50,log,tcg,177,1,170,0,0,0,171
h--10--all-70,log,tcg,184,2,166,0,0,0,168
h--100--all-10,log,tcg,192,1,173,1,1,2,174
