model,log,alg,time
g-45-20-20-10-5--20-20-20--10--25--19--add-10,log,A*-sync,18
g-45-20-20-10-5--20-20-20--10--25--12--rem-50,log,A*-sync,32
g-45-20-20-10-5--20-20-20--10--50--16--rem-70,log,A*-sync,23
g-45-20-20-10-5--20-20-20--10--25--22--rem-70,log,A*-sync,13
g-45-20-20-10-5--20-20-20--10--75--23--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--11--all-50,log,A*-sync,1104
g-45-20-20-10-5--20-20-20--10--25--20--all-70,log,A*-sync,52
g-45-20-20-10-5--20-20-20--10--75--2--add-10,log,A*-sync,41955
g-45-20-20-10-5--20-20-20--10--50--25--add-30,log,A*-sync,2214
g-45-20-20-10-5--20-20-20--10--50--4--rem-50,log,A*-sync,2240
g-45-20-20-10-5--20-20-20--10--75--29--add-30,log,A*-sync,10556
g-45-20-20-10-5--20-20-20--10--50--21--all-50,log,A*-sync,2150
g-45-20-20-10-5--20-20-20--10--75--8--add-30,log,A*-sync,54189
g-45-20-20-10-5--20-20-20--10--50--12--add-30,log,A*-sync,32
g-45-20-20-10-5--20-20-20--10--25--19--all-10,log,A*-sync,25
g-45-20-20-10-5--20-20-20--10--75--22--add-10,log,A*-sync,34
g-45-20-20-10-5--20-20-20--10--75--3--add-10,log,A*-sync,1699
g-45-20-20-10-5--20-20-20--10--25--17--add-30,log,A*-sync,11
g-45-20-20-10-5--20-20-20--10--25--3--all-10,log,A*-sync,138
g-45-20-20-10-5--20-20-20--10--25--15--rem-50,log,A*-sync,160
g-45-20-20-10-5--20-20-20--10--50--11--all-10,log,A*-sync,32
g-45-20-20-10-5--20-20-20--10--50--1--rem-10,log,A*-sync,28
g-45-20-20-10-5--20-20-20--10--25--17--all-30,log,A*-sync,9
g-45-20-20-10-5--20-20-20--10--25--18--add-50,log,A*-sync,153
g-45-20-20-10-5--20-20-20--10--75--4--all-70,log,A*-sync,164
g-45-20-20-10-5--20-20-20--10--25--20--rem-70,log,A*-sync,13
g-45-20-20-10-5--20-20-20--10--75--22--rem-30,log,A*-sync,27
g-45-20-20-10-5--20-20-20--10--50--10--all-30,log,A*-sync,36
g-45-20-20-10-5--20-20-20--10--50--6--add-30,log,A*-sync,5463
g-45-20-20-10-5--20-20-20--10--75--10--add-30,log,A*-sync,23
g-45-20-20-10-5--20-20-20--10--25--6--add-50,log,A*-sync,29
g-45-20-20-10-5--20-20-20--10--25--30--rem-70,log,A*-sync,18
g-45-20-20-10-5--20-20-20--10--75--14--rem-10,log,A*-sync,44
g-45-20-20-10-5--20-20-20--10--50--24--add-30,log,A*-sync,16
g-45-20-20-10-5--20-20-20--10--75--12--rem-70,log,A*-sync,9960
g-45-20-20-10-5--20-20-20--10--50--11--rem-50,log,A*-sync,30
g-45-20-20-10-5--20-20-20--10--25--19--add-50,log,A*-sync,27
g-45-20-20-10-5--20-20-20--10--50--15--add-50,log,A*-sync,18057
g-45-20-20-10-5--20-20-20--10--25--9--all-10,log,A*-sync,73
g-45-20-20-10-5--20-20-20--10--25--8--rem-50,log,A*-sync,47
g-45-20-20-10-5--20-20-20--10--75--2--rem-10,log,A*-sync,363
g-45-20-20-10-5--20-20-20--10--75--4--rem-10,log,A*-sync,156
g-45-20-20-10-5--20-20-20--10--25--8--add-50,log,A*-sync,704
g-45-20-20-10-5--20-20-20--10--75--24--add-50,log,A*-sync,326
g-45-20-20-10-5--20-20-20--10--50--4--all-10,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--24--add-10,log,A*-sync,316
g-45-20-20-10-5--20-20-20--10--75--9--all-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--12--all-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--25--add-10,log,A*-sync,45
g-45-20-20-10-5--20-20-20--10--75--30--add-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--30--all-50,log,A*-sync,117
g-45-20-20-10-5--20-20-20--10--75--5--rem-10,log,A*-sync,68
g-45-20-20-10-5--20-20-20--10--75--17--all-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--19--rem-10,log,A*-sync,123
g-45-20-20-10-5--20-20-20--10--50--18--add-10,log,A*-sync,253
g-45-20-20-10-5--20-20-20--10--50--14--add-70,log,A*-sync,44386
g-45-20-20-10-5--20-20-20--10--25--9--add-10,log,A*-sync,83
g-45-20-20-10-5--20-20-20--10--25--4--rem-70,log,A*-sync,35
g-45-20-20-10-5--20-20-20--10--50--16--all-70,log,A*-sync,18
g-45-20-20-10-5--20-20-20--10--25--10--add-70,log,A*-sync,279
g-45-20-20-10-5--20-20-20--10--75--23--all-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--21--add-70,log,A*-sync,3278
g-45-20-20-10-5--20-20-20--10--25--3--all-70,log,A*-sync,1357
g-45-20-20-10-5--20-20-20--10--50--30--add-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--18--all-50,log,A*-sync,685
g-45-20-20-10-5--20-20-20--10--50--14--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--12--all-70,log,A*-sync,32
g-45-20-20-10-5--20-20-20--10--50--30--rem-10,log,A*-sync,872
g-45-20-20-10-5--20-20-20--10--50--15--all-10,log,A*-sync,18543
g-45-20-20-10-5--20-20-20--10--50--27--rem-30,log,A*-sync,250
g-45-20-20-10-5--20-20-20--10--75--23--add-10,log,A*-sync,2101
g-45-20-20-10-5--20-20-20--10--75--2--rem-30,log,A*-sync,341
g-45-20-20-10-5--20-20-20--10--75--8--rem-10,log,A*-sync,774
g-45-20-20-10-5--20-20-20--10--50--21--rem-10,log,A*-sync,54
g-45-20-20-10-5--20-20-20--10--25--17--all-10,log,A*-sync,9
g-45-20-20-10-5--20-20-20--10--50--17--add-30,log,A*-sync,107
g-45-20-20-10-5--20-20-20--10--75--10--add-10,log,A*-sync,19
g-45-20-20-10-5--20-20-20--10--50--29--add-30,log,A*-sync,39
g-45-20-20-10-5--20-20-20--10--25--25--all-50,log,A*-sync,41
g-45-20-20-10-5--20-20-20--10--25--29--rem-50,log,A*-sync,49
g-45-20-20-10-5--20-20-20--10--75--20--add-50,log,A*-sync,182
g-45-20-20-10-5--20-20-20--10--25--2--add-70,log,A*-sync,44
g-45-20-20-10-5--20-20-20--10--50--8--all-30,log,A*-sync,1367
g-45-20-20-10-5--20-20-20--10--75--11--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--5--add-10,log,A*-sync,59
g-45-20-20-10-5--20-20-20--10--25--15--add-70,log,A*-sync,51829
g-45-20-20-10-5--20-20-20--10--50--8--add-30,log,A*-sync,189
g-45-20-20-10-5--20-20-20--10--50--8--all-50,log,A*-sync,2151
g-45-20-20-10-5--20-20-20--10--75--17--add-10,log,A*-sync,358
g-45-20-20-10-5--20-20-20--10--75--19--add-50,log,A*-sync,41388
g-45-20-20-10-5--20-20-20--10--50--5--rem-70,log,A*-sync,40428
g-45-20-20-10-5--20-20-20--10--50--18--rem-70,log,A*-sync,68
g-45-20-20-10-5--20-20-20--10--75--24--all-10,log,A*-sync,174
g-45-20-20-10-5--20-20-20--10--25--18--add-10,log,A*-sync,123
g-45-20-20-10-5--20-20-20--10--50--21--all-30,log,A*-sync,466
g-45-20-20-10-5--20-20-20--10--75--19--rem-10,log,A*-sync,2059
g-45-20-20-10-5--20-20-20--10--75--30--rem-50,log,A*-sync,43144
g-45-20-20-10-5--20-20-20--10--50--29--rem-10,log,A*-sync,31
g-45-20-20-10-5--20-20-20--10--75--17--add-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--28--add-70,log,A*-sync,41
g-45-20-20-10-5--20-20-20--10--50--9--all-50,log,A*-sync,68
g-45-20-20-10-5--20-20-20--10--50--12--rem-30,log,A*-sync,29
g-45-20-20-10-5--20-20-20--10--75--12--add-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--1--all-50,log,A*-sync,33
g-45-20-20-10-5--20-20-20--10--50--7--all-10,log,A*-sync,87
g-45-20-20-10-5--20-20-20--10--75--13--add-30,log,A*-sync,123
g-45-20-20-10-5--20-20-20--10--25--22--add-30,log,A*-sync,24
g-45-20-20-10-5--20-20-20--10--25--24--all-70,log,A*-sync,90
g-45-20-20-10-5--20-20-20--10--25--5--all-10,log,A*-sync,155
g-45-20-20-10-5--20-20-20--10--25--26--add-30,log,A*-sync,400
g-45-20-20-10-5--20-20-20--10--75--25--add-50,log,A*-sync,64
g-45-20-20-10-5--20-20-20--10--50--27--all-10,log,A*-sync,327
g-45-20-20-10-5--20-20-20--10--25--26--add-10,log,A*-sync,39
g-45-20-20-10-5--20-20-20--10--25--13--all-50,log,A*-sync,11
g-45-20-20-10-5--20-20-20--10--25--19--rem-70,log,A*-sync,12
g-45-20-20-10-5--20-20-20--10--75--27--rem-70,log,A*-sync,42058
g-45-20-20-10-5--20-20-20--10--25--4--rem-50,log,A*-sync,34
g-45-20-20-10-5--20-20-20--10--25--11--all-10,log,A*-sync,110
g-45-20-20-10-5--20-20-20--10--75--13--rem-30,log,A*-sync,122
g-45-20-20-10-5--20-20-20--10--50--13--add-50,log,A*-sync,401
g-45-20-20-10-5--20-20-20--10--75--14--all-30,log,A*-sync,21
g-45-20-20-10-5--20-20-20--10--50--25--rem-70,log,A*-sync,148
g-45-20-20-10-5--20-20-20--10--25--30--all-30,log,A*-sync,68
g-45-20-20-10-5--20-20-20--10--25--18--all-30,log,A*-sync,373
g-45-20-20-10-5--20-20-20--10--25--14--all-30,log,A*-sync,67
g-45-20-20-10-5--20-20-20--10--50--13--all-30,log,A*-sync,518
g-45-20-20-10-5--20-20-20--10--25--20--add-30,log,A*-sync,34
g-45-20-20-10-5--20-20-20--10--50--7--add-30,log,A*-sync,74
g-45-20-20-10-5--20-20-20--10--75--20--rem-70,log,A*-sync,163
g-45-20-20-10-5--20-20-20--10--25--24--rem-70,log,A*-sync,12
g-45-20-20-10-5--20-20-20--10--25--12--rem-10,log,A*-sync,24
g-45-20-20-10-5--20-20-20--10--25--29--add-50,log,A*-sync,262
g-45-20-20-10-5--20-20-20--10--75--3--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--10--add-70,log,A*-sync,102
g-45-20-20-10-5--20-20-20--10--25--21--all-10,log,A*-sync,52
g-45-20-20-10-5--20-20-20--10--75--28--add-30,log,A*-sync,85
g-45-20-20-10-5--20-20-20--10--25--11--rem-50,log,A*-sync,247
g-45-20-20-10-5--20-20-20--10--75--14--rem-70,log,A*-sync,20
g-45-20-20-10-5--20-20-20--10--25--24--all-10,log,A*-sync,25
g-45-20-20-10-5--20-20-20--10--50--24--add-10,log,A*-sync,19
g-45-20-20-10-5--20-20-20--10--50--22--all-30,log,A*-sync,3394
g-45-20-20-10-5--20-20-20--10--25--27--add-50,log,A*-sync,734
g-45-20-20-10-5--20-20-20--10--25--17--add-50,log,A*-sync,10
g-45-20-20-10-5--20-20-20--10--75--30--add-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--21--all-10,log,A*-sync,96
g-45-20-20-10-5--20-20-20--10--25--8--all-70,log,A*-sync,343
g-45-20-20-10-5--20-20-20--10--25--6--all-10,log,A*-sync,17
g-45-20-20-10-5--20-20-20--10--75--30--add-10,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--21--rem-10,log,A*-sync,111
g-45-20-20-10-5--20-20-20--10--75--22--all-50,log,A*-sync,30
g-45-20-20-10-5--20-20-20--10--25--29--add-10,log,A*-sync,130
g-45-20-20-10-5--20-20-20--10--25--5--add-50,log,A*-sync,209
g-45-20-20-10-5--20-20-20--10--25--23--add-30,log,A*-sync,21
g-45-20-20-10-5--20-20-20--10--50--26--all-10,log,A*-sync,21
g-45-20-20-10-5--20-20-20--10--25--3--all-50,log,A*-sync,1075
g-45-20-20-10-5--20-20-20--10--75--2--rem-70,log,A*-sync,313
